id,object_id,cog_x,cog_y,cog_z,weight,mat,assieme,end1,end2,nested,object_type,subasm,locazione,t,length,length2,incr1,incr2,idn,costr,block,type
534416,815c8acd-347e-42c9-b09c-5a6354d9c575,13455,-3486,1525,13.5,AH36,B50,BF30,BF30,false,stiffner,G01,FR_13.5,"BENT - 149,999999999785",1588,-,0,0,839,14146,BL02,FB90x12
534427,81387689-18a9-4f00-bfd8-f79ece5c61e2,13507,-3318,4529,1.8,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,269,14146,BL02,THK5
534438,0732654b-37ae-4fd5-8a6e-143b3d05bb10,13460,3540,3798,6.2,AH36,B53,BF30+30,BI02,false,stiffner,G01,FR_13.5,FLAT,1656,-,0,0,829,14146,BL02,FB80x6
534450,811449d9-85ba-4862-b12c-2149e5d00a59,13507,10,4522,1.9,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,270,14146,BL02,THK5
534462,d3acbdbf-2feb-43a6-acfe-0e22a457d39a,13460,-3540,3798,6.2,AH36,B53,BF30+30,BI02,false,stiffner,G01,FR_13.5,FLAT,1656,-,0,0,829,14146,BL02,FB80x6
534474,3bfd7e32-db7e-4f8f-b552-2af21ab8506d,7253,-3516,2411,1.7,AH36,B52,BF10,BF10,false,stiffner,G01,LONG_3546,"BENT - 79,999999998155",460,-,0,0,691,14146,BL02,FB60x8
534484,591446bc-92a6-4b3a-916c-3ff727b7f264,7997,3832,2068,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,135,14146,BL02,THK7
534494,0c158231-c4ec-4886-bf49-22265cf107e3,8003,3115,2096,58.3,AH36,B24,-,-,false,part,G01,FR_8,FLAT,0,-,0,0,119,14146,BL02,THK7
534075,8f2530ad-bcf9-454f-a157-b85819b14e5b,11945,4241,2558,195.8,AH36,D01,-,-,false,part,G01,SHELL,BENT UNREGULAR,0,-,0,0,7007,14146,BL02,THK9
534084,f165442e-37a3-4b36-81de-86cdde2590a3,10320,3776,2255,4.5,AH36,E02,-,-,false,part,G01,H.2250,FLAT,0,-,0,0,8,14146,BL02,THK10
534094,62a95da7-ada1-448f-af3e-7bf621f7c28d,12504,784,903,24.7,AH36,B47,-,-,false,part,G01,FR_12.5,FLAT,0,-,0,0,236,14146,BL02,THK7
534104,a82c3e5e-2c99-4112-8439-d4c8632ea17d,13503,0,1128,367.4,AH36,B50,-,-,false,part,G01,FR_13.5,FLAT,0,-,0,0,276,14146,BL02,THK7
534114,701e4ba6-a2a0-4f16-8db8-55a1bc579943,7004,2474,2112,2.7,AH36,B20,BF10,BF10,false,stiffner,G01,FR_7,"BENT - 100,000000000299",720,-,0,0,633,14146,BL02,FB60x8
534124,42f6eba4-d22d-4830-8135-13596e6dd847,11001,356,4509,7.1,AH36,E05,-,-,false,part,G01,H.4550,FLAT,0,-,0,0,267,14146,BL02,THK7
534133,a5556d84-43a4-4306-957e-b0c36f9c26f4,10960,-1076,4436,3.8,AH36,E05,BF10,BF10,false,stiffner,G01,H.4550,FLAT,1007,-,0,0,739,14146,BL02,FB60x8
534144,cff6b4a4-2eed-4d6a-bb4b-8ab5bc85afd9,11001,-356,4509,7.1,AH36,E05,-,-,false,part,G01,H.4550,FLAT,0,-,0,0,267,14146,BL02,THK7
534154,f16d1ff5-9817-47bb-ae0f-4f8ec6ebe8ad,11995,-1013,613,0.3,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,330,14146,BL02,THK10
534162,98d206d2-84e5-4a1d-9154-2632e0c6e88b,5997,3799,4362,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,326,14146,BL02,THK7
534172,8522ee4a-26b4-469c-98f5-581be6dfd302,5997,-3772,2199,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,322,14146,BL02,THK7
534182,edb408d8-ee55-436f-a321-17dd68fa8361,12506,-3855,1858,23.7,AH36,B47,-,-,false,part,G01,FR_12.5,FLAT,0,-,0,0,237,14146,BL02,THK12
